,NGRAM_TFIDF_RF,DATA_LABEL,DATA_TYPE,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF,EXP,N
1,0.7200000000000001,1601,SPEAKERS,0.7692307692307692,0.7200000000000001,0.6923076923076924,TB_NONTB,667
2,0.9285714285714286,1601,SPEAKERS,0.888888888888889,0.9285714285714286,0.896551724137931,TB_NONTB,667
3,0.8461538461538461,1601,SPEAKERS,0.8461538461538461,0.888888888888889,0.8461538461538461,TB_NONTB,667
4,0.888888888888889,1601,SPEAKERS,0.9285714285714286,0.9285714285714286,0.9655172413793104,TB_NONTB,667
5,0.923076923076923,1601,SPEAKERS,0.923076923076923,0.923076923076923,0.923076923076923,TB_NONTB,667
6,0.888888888888889,1601,SPEAKERS,0.9600000000000001,0.9600000000000001,0.9600000000000001,TB_NONTB,667
7,0.8799999999999999,1601,SPEAKERS,0.8799999999999999,0.8799999999999999,0.9230769230769231,TB_NONTB,667
8,0.7826086956521738,1601,SPEAKERS,0.6666666666666667,0.6956521739130435,0.6363636363636364,TB_NONTB,667
9,0.8695652173913044,1601,SPEAKERS,0.9166666666666666,0.9166666666666666,0.9166666666666666,TB_NONTB,667
10,0.7826086956521738,1601,SPEAKERS,0.7826086956521738,0.8,0.7826086956521738,TB_NONTB,667
11,0.8461538461538461,1601,SPEAKERS,0.8333333333333333,0.8333333333333333,0.8333333333333333,TB_NONTB,667
12,0.8181818181818181,1601,SPEAKERS,0.7826086956521738,0.6956521739130435,0.8181818181818181,TB_NONTB,667
13,0.8148148148148148,1601,SPEAKERS,0.7692307692307693,0.7199999999999999,0.8,TB_NONTB,667
14,0.888888888888889,1601,SPEAKERS,0.9166666666666666,0.9166666666666666,0.9600000000000001,TB_NONTB,667
15,0.8799999999999999,1601,SPEAKERS,0.8799999999999999,0.8799999999999999,0.8799999999999999,TB_NONTB,667
16,1.0,1601,SPEAKERS,1.0,0.962962962962963,1.0,TB_NONTB,667
17,0.5599999999999999,1601,SPEAKERS,0.5714285714285714,0.5714285714285714,0.6666666666666667,TB_NONTB,667
18,0.8,1601,SPEAKERS,0.7692307692307693,0.6666666666666667,0.7692307692307693,TB_NONTB,667
19,0.9230769230769231,1601,SPEAKERS,0.9600000000000001,0.9600000000000001,0.9600000000000001,TB_NONTB,667
0,0.8444444444444444,1602,SPEAKERS,0.85,0.878048780487805,0.8292682926829269,TB_NONTB,1045
1,0.7999999999999999,1602,SPEAKERS,0.7727272727272727,0.7391304347826085,0.8,TB_NONTB,1045
2,0.7346938775510203,1602,SPEAKERS,0.8372093023255814,0.8095238095238095,0.7906976744186046,TB_NONTB,1045
3,0.9361702127659574,1602,SPEAKERS,0.9777777777777777,0.9565217391304348,0.9777777777777777,TB_NONTB,1045
4,0.9545454545454545,1602,SPEAKERS,0.9777777777777777,0.9545454545454545,0.9777777777777777,TB_NONTB,1045
5,0.9047619047619047,1602,SPEAKERS,0.85,0.85,0.8837209302325583,TB_NONTB,1045
6,0.8627450980392156,1602,SPEAKERS,0.8837209302325583,0.8372093023255814,0.8444444444444444,TB_NONTB,1045
7,0.8085106382978724,1602,SPEAKERS,0.8181818181818182,0.7906976744186046,0.8181818181818182,TB_NONTB,1045
8,0.6808510638297872,1602,SPEAKERS,0.75,0.75,0.75,TB_NONTB,1045
9,0.8372093023255814,1602,SPEAKERS,0.8181818181818182,0.8636363636363636,0.8636363636363636,TB_NONTB,1045
10,0.8461538461538461,1602,SPEAKERS,0.9545454545454545,0.9545454545454545,0.9777777777777777,TB_NONTB,1045
11,0.85,1602,SPEAKERS,0.909090909090909,0.9545454545454545,0.9047619047619047,TB_NONTB,1045
12,0.6538461538461539,1602,SPEAKERS,0.717948717948718,0.7000000000000001,0.717948717948718,TB_NONTB,1045
13,0.8333333333333333,1602,SPEAKERS,0.9523809523809523,0.9523809523809523,0.9302325581395349,TB_NONTB,1045
14,0.6896551724137931,1602,SPEAKERS,0.8571428571428572,0.8372093023255814,0.8372093023255814,TB_NONTB,1045
15,0.7272727272727273,1602,SPEAKERS,0.8837209302325582,0.8444444444444444,0.8695652173913043,TB_NONTB,1045
16,0.8181818181818182,1602,SPEAKERS,0.8292682926829269,0.8780487804878049,0.8571428571428572,TB_NONTB,1045
17,0.8292682926829269,1602,SPEAKERS,0.8095238095238095,0.8292682926829269,0.8372093023255814,TB_NONTB,1045
18,0.7777777777777778,1602,SPEAKERS,0.8421052631578948,0.7567567567567568,0.8421052631578948,TB_NONTB,1045
19,0.85,1602,SPEAKERS,0.85,0.85,0.8292682926829269,TB_NONTB,1045
0,0.8799999999999999,1638,SPEAKERS,0.9166666666666666,0.9166666666666666,0.8148148148148148,TB_NONTB,572
1,0.8695652173913044,1638,SPEAKERS,0.8799999999999999,0.8799999999999999,0.9166666666666666,TB_NONTB,572
2,0.8799999999999999,1638,SPEAKERS,0.8799999999999999,0.8799999999999999,0.8799999999999999,TB_NONTB,572
3,0.8695652173913044,1638,SPEAKERS,0.8695652173913044,0.8695652173913044,0.9166666666666666,TB_NONTB,572
4,0.8181818181818181,1638,SPEAKERS,0.761904761904762,0.7826086956521738,0.8181818181818181,TB_NONTB,572
5,0.9166666666666666,1638,SPEAKERS,0.9166666666666666,0.9166666666666666,0.9166666666666666,TB_NONTB,572
6,0.8333333333333333,1638,SPEAKERS,0.8333333333333333,0.8333333333333333,0.8333333333333333,TB_NONTB,572
