,DATA_TYPE,N,DATA_LABEL,NGRAM_TFIDF_RF,EXP,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF
16,SPEAKERS,1045,1602,0.8372093023255814,TB_INT,0.8205128205128205,0.8205128205128205,0.8292682926829269
17,SPEAKERS,1045,1602,0.8372093023255814,TB_INT,0.8837209302325582,0.8372093023255814,0.8571428571428572
18,SPEAKERS,1045,1602,0.7499999999999999,TB_INT,0.7368421052631579,0.6666666666666665,0.7368421052631579
19,SPEAKERS,1045,1602,0.6,TB_INT,0.631578947368421,0.631578947368421,0.6153846153846153
0,SPEAKERS,572,1638,0.8461538461538461,TB_INT,0.888888888888889,0.8799999999999999,0.9230769230769231
1,SPEAKERS,572,1638,0.8695652173913044,TB_INT,0.8333333333333333,0.8333333333333333,0.8799999999999999
2,SPEAKERS,572,1638,0.8799999999999999,TB_INT,0.8799999999999999,0.8799999999999999,0.8799999999999999
3,SPEAKERS,572,1638,0.8695652173913044,TB_INT,0.8695652173913044,0.9600000000000001,0.8799999999999999
4,SPEAKERS,572,1638,0.8181818181818181,TB_INT,0.761904761904762,0.761904761904762,0.8181818181818181
5,SPEAKERS,572,1638,0.9166666666666666,TB_INT,0.9166666666666666,0.9166666666666666,0.9166666666666666
6,SPEAKERS,572,1638,0.8333333333333333,TB_INT,0.8,0.8333333333333333,0.8333333333333333
7,SPEAKERS,572,1638,0.9600000000000001,TB_INT,0.9600000000000001,0.9600000000000001,0.9600000000000001
8,SPEAKERS,572,1638,0.9285714285714286,TB_INT,0.9285714285714286,0.888888888888889,0.896551724137931
9,SPEAKERS,572,1638,1.0,TB_INT,1.0,1.0,1.0
10,SPEAKERS,572,1638,0.8333333333333333,TB_INT,0.8799999999999999,0.8333333333333333,0.8799999999999999
11,SPEAKERS,572,1638,0.8333333333333333,TB_INT,0.8,0.8333333333333333,0.8799999999999999
12,SPEAKERS,572,1638,0.8333333333333333,TB_INT,0.7826086956521738,0.7272727272727274,0.7500000000000001
