,WORD_TFIFD_RF,NGRAM_TFIDF_RF,CHAR_NGRAM_TFIDF_RF,WC_RF,DATA_LABEL,N,EXP,DATA_TYPE
19,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1676,197,TB_NONTB,SPEAKERS
0,0.9565217391304348,0.7857142857142858,0.9090909090909091,0.8695652173913043,1674,464,TB_NONTB,SPEAKERS
1,0.631578947368421,0.5714285714285713,0.5882352941176471,0.5882352941176471,1674,464,TB_NONTB,SPEAKERS
2,0.8571428571428572,0.8571428571428572,0.8421052631578948,0.7999999999999999,1674,464,TB_NONTB,SPEAKERS
3,1.0,1.0,1.0,1.0,1674,464,TB_NONTB,SPEAKERS
4,0.9523809523809523,0.9565217391304348,0.9523809523809523,0.9523809523809523,1674,464,TB_NONTB,SPEAKERS
5,0.9090909090909091,0.8695652173913043,0.9090909090909091,0.9523809523809523,1674,464,TB_NONTB,SPEAKERS
6,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8333333333333333,1674,464,TB_NONTB,SPEAKERS
7,0.9090909090909091,0.8695652173913043,0.9523809523809523,0.9090909090909091,1674,464,TB_NONTB,SPEAKERS
8,0.9,0.8571428571428572,0.8421052631578948,0.9,1674,464,TB_NONTB,SPEAKERS
9,0.9090909090909091,0.9565217391304348,0.9523809523809523,0.9090909090909091,1674,464,TB_NONTB,SPEAKERS
10,0.9090909090909091,0.8695652173913043,0.9090909090909091,0.9090909090909091,1674,464,TB_NONTB,SPEAKERS
11,1.0,1.0,1.0,1.0,1674,464,TB_NONTB,SPEAKERS
12,0.9565217391304348,0.9166666666666666,0.9090909090909091,0.9565217391304348,1674,464,TB_NONTB,SPEAKERS
13,1.0,0.9565217391304348,1.0,1.0,1674,464,TB_NONTB,SPEAKERS
14,0.9565217391304348,0.88,0.9090909090909091,0.9166666666666666,1674,464,TB_NONTB,SPEAKERS
15,0.8235294117647058,0.761904761904762,0.8235294117647058,0.888888888888889,1674,464,TB_NONTB,SPEAKERS
16,1.0,1.0,1.0,1.0,1674,464,TB_NONTB,SPEAKERS
17,0.9473684210526316,0.8571428571428572,0.9473684210526316,0.9473684210526316,1674,464,TB_NONTB,SPEAKERS
18,1.0,0.9090909090909091,1.0,1.0,1674,464,TB_NONTB,SPEAKERS
19,1.0,1.0,1.0,1.0,1674,464,TB_NONTB,SPEAKERS
0,0.9032258064516129,0.8823529411764706,0.9375,0.9375,1675,648,TB_NONTB,SPEAKERS
1,0.967741935483871,0.9375,0.9375,0.967741935483871,1675,648,TB_NONTB,SPEAKERS
2,0.8571428571428571,0.8275862068965518,0.888888888888889,0.8571428571428571,1675,648,TB_NONTB,SPEAKERS
3,0.8148148148148148,0.7586206896551724,0.8148148148148148,0.8148148148148148,1675,648,TB_NONTB,SPEAKERS
4,0.896551724137931,0.8125,0.896551724137931,0.896551724137931,1675,648,TB_NONTB,SPEAKERS
5,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,1675,648,TB_NONTB,SPEAKERS
6,0.896551724137931,0.8666666666666667,0.9285714285714286,0.9285714285714286,1675,648,TB_NONTB,SPEAKERS
7,0.846153846153846,0.7857142857142856,0.846153846153846,0.846153846153846,1675,648,TB_NONTB,SPEAKERS
8,0.9285714285714286,0.896551724137931,0.9285714285714286,0.896551724137931,1675,648,TB_NONTB,SPEAKERS
9,0.9032258064516129,0.9032258064516129,0.9333333333333333,0.9032258064516129,1675,648,TB_NONTB,SPEAKERS
10,0.9032258064516129,0.8571428571428571,0.9032258064516129,0.9032258064516129,1675,648,TB_NONTB,SPEAKERS
11,0.8571428571428571,0.8666666666666667,0.8571428571428571,0.8571428571428571,1675,648,TB_NONTB,SPEAKERS
12,0.9375,0.9090909090909091,0.967741935483871,0.9375,1675,648,TB_NONTB,SPEAKERS
13,0.967741935483871,0.8333333333333333,0.967741935483871,0.967741935483871,1675,648,TB_NONTB,SPEAKERS
14,0.8275862068965518,0.7878787878787877,0.8571428571428571,0.8571428571428571,1675,648,TB_NONTB,SPEAKERS
15,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,1675,648,TB_NONTB,SPEAKERS
16,0.896551724137931,0.8666666666666667,0.896551724137931,0.896551724137931,1675,648,TB_NONTB,SPEAKERS
17,0.8275862068965518,0.8275862068965518,0.8275862068965518,0.8000000000000002,1675,648,TB_NONTB,SPEAKERS
18,0.896551724137931,0.896551724137931,0.8571428571428571,0.8571428571428571,1675,648,TB_NONTB,SPEAKERS
19,0.9032258064516129,0.8749999999999999,0.9333333333333333,0.8749999999999999,1675,648,TB_NONTB,SPEAKERS
0,0.8571428571428571,0.9333333333333333,0.8571428571428571,0.8571428571428571,1673,369,TB_NONTB,SPEAKERS
1,0.9333333333333333,0.875,0.8571428571428571,1.0,1673,369,TB_NONTB,SPEAKERS
2,0.8571428571428571,0.9333333333333333,0.8571428571428571,0.9333333333333333,1673,369,TB_NONTB,SPEAKERS
3,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.75,1673,369,TB_NONTB,SPEAKERS
4,1.0,1.0,0.9411764705882353,1.0,1673,369,TB_NONTB,SPEAKERS
5,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1673,369,TB_NONTB,SPEAKERS
6,0.7692307692307693,0.9333333333333333,0.7692307692307693,0.8571428571428571,1673,369,TB_NONTB,SPEAKERS
7,0.9333333333333333,0.7777777777777777,0.7692307692307693,0.9333333333333333,1673,369,TB_NONTB,SPEAKERS
8,0.875,0.7777777777777777,0.875,0.875,1673,369,TB_NONTB,SPEAKERS
9,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1673,369,TB_NONTB,SPEAKERS
10,1.0,0.888888888888889,1.0,1.0,1673,369,TB_NONTB,SPEAKERS
11,0.7142857142857143,0.875,0.7142857142857143,0.7142857142857143,1673,369,TB_NONTB,SPEAKERS
12,0.9411764705882353,0.888888888888889,0.9333333333333333,0.9333333333333333,1673,369,TB_NONTB,SPEAKERS
13,0.6666666666666666,0.625,0.6666666666666666,0.6666666666666666,1673,369,TB_NONTB,SPEAKERS
14,0.7692307692307693,0.7142857142857143,0.7692307692307693,0.7692307692307693,1673,369,TB_NONTB,SPEAKERS
15,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1673,369,TB_NONTB,SPEAKERS
16,1.0,0.8750000000000001,0.923076923076923,1.0,1673,369,TB_NONTB,SPEAKERS
17,0.923076923076923,0.7368421052631579,0.923076923076923,0.923076923076923,1673,369,TB_NONTB,SPEAKERS
18,0.923076923076923,0.923076923076923,0.8333333333333333,0.8333333333333333,1673,369,TB_NONTB,SPEAKERS
19,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,1673,369,TB_NONTB,SPEAKERS
0,0.631578947368421,0.7727272727272727,0.6285714285714287,0.6842105263157895,1641,690,TB_NONTB,SPEAKERS
1,0.7878787878787877,0.8717948717948718,0.8421052631578948,0.8571428571428571,1641,690,TB_NONTB,SPEAKERS
2,0.8823529411764706,0.8947368421052632,0.8,0.8571428571428571,1641,690,TB_NONTB,SPEAKERS
3,0.6470588235294118,0.7368421052631577,0.625,0.6857142857142857,1641,690,TB_NONTB,SPEAKERS
4,0.6315789473684211,0.7,0.6470588235294118,0.7777777777777778,1641,690,TB_NONTB,SPEAKERS
5,0.8235294117647058,0.7428571428571428,0.8000000000000002,0.8484848484848485,1641,690,TB_NONTB,SPEAKERS
